rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,10300000,70,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | SWAP_REG_REG(r7,r8)","r1=R25;r2=R16;r3=R26;r4=R20;r5=R27;r6=R21;r7=R28;r8=R19","rxjson",1169
92,85000,1,1,6,over_3_symbols,"IGTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ILTE_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R73;r2=R79;c1=int:49;c2=label@13157;c3=int:57;c4=label@13199","rxjson",13146
93,85000,1,1,8,over_3_symbols,"ILTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r3,r3,c3) | ILT_REG_REG_REG(r4,r3,r5)","r1=R73;r2=R79;c1=int:57;c2=label@13199;r3=R103;c3=int:1;r4=R72;r5=R75","rxjson",13153
94,85000,3,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3) | SWAP_REG_REG(r4,r3)","r1=R28;c1=int:0;r2=R24;c2=int:13;r3=R0;c3=int:256;r4=R25","rxjson",1233
95,80000,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3) | SWAP_REG_REG(r4,r3)","c1=label@12041;r1=R46;r2=R47;c2=int:14;r3=R101;c3=int:256;r4=R48","rxjson",11930
96,80000,1,1,6,over_3_symbols,"ENDLIFE_REG(r1) | ILT_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c1,r2) | BGETU8_REG_REG_REG(r2,r5,r3)","r1=R17;r2=R21;r3=R82;r4=R81;c1=label@13582;r5=R80","rxjson",13565
97,80000,1,1,8,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r3,c3) | SETTP_REG_INT(r4,c4)","r1=R46;r2=R1;c1=int:123;c2=label@12041;r3=R47;c3=int:14;r4=R101;c4=int:256","rxjson",11926
98,80000,1,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | IADD_REG_REG_INT(r1,r1,c1) | COPY_REG_REG(r2,r3)","c1=int:1;r1=R82;r2=R14;r3=R80","rxjson",13488
99,80000,1,1,2,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | IADD_REG_REG_INT(r1,r1,c1)","c1=int:1;r1=R82","rxjson",13486
100,80000,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | IADD_REG_REG_INT(r1,r1,c1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","c1=int:1;r1=R82;r2=R14;r3=R80;r4=R15;r5=R81","rxjson",13490
101,80000,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | RET_REG(r7)","r1=R111;r2=R59;r3=R112;r4=R60;r5=R113;r6=R61;r7=R43","rxjson",12030
102,75000,6,1,5,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3) | SCOPY_REG_REG(r4,r5)","r1=R19;r2=R20;r3=R21;r4=R13;r5=R97","rxjson",1134
103,70000,5,1,7,over_3_symbols,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c3,r3)","r1=R25;r2=R14;c1=int:0;c2=label@9362;r3=R26;r4=R22;c3=label@9333","rxjson",9315
104,70000,5,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_STRING(r2,c2) | ILT_REG_REG_INT(r3,r4,c3) | BRF_ID_REG(c4,r3)","r1=R17;c1=int:0;r2=R20;c2=string@31136;r3=R25;r4=R21;c3=int:1;c4=label@9274","rxjson",9258
105,70000,5,1,9,over_3_symbols,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_STRING(r3,c3) | ILT_REG_REG_INT(r4,r5,c4)","r1=R15;c1=string@321248;r2=R17;c2=int:0;r3=R20;c3=string@31136;r4=R25;r5=R21;c4=int:1","rxjson",9255
106,70000,5,1,6,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | SCOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R22;r2=R24;r3=R23;r4=R40;r5=R21;r6=R1","rxjson",9245
107,70000,5,1,8,over_3_symbols,"STRLEN_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1) | ISUB_REG_REG_REG(r5,r1,r3) | BGE_ID_REG_INT(c2,r5,c3)","r1=R24;r2=R23;r3=R22;r4=R21;c1=int:1;r5=R13;c2=label@9305;c3=int:0","rxjson",9287
108,65000,4,1,8,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | LOAD_REG_INT(r4,c2) | LOAD_REG_STRING(r5,c3)","r1=R21;r2=R1;r3=R15;c1=string@321248;r4=R17;c2=int:0;r5=R20;c3=string@31136","rxjson",9252
109,65000,4,1,7,over_3_symbols,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | LOAD_REG_STRING(r6,c1)","r1=R24;r2=R23;r3=R40;r4=R21;r5=R1;r6=R15;c1=string@321248","rxjson",9247
110,65000,4,1,8,over_3_symbols,"SCOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LOAD_REG_STRING(r5,c1) | LOAD_REG_INT(r6,c2)","r1=R23;r2=R40;r3=R21;r4=R1;r5=R15;c1=string@321248;r6=R17;c2=int:0","rxjson",9249
111,65000,4,1,8,over_3_symbols,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4) | ISUB_REG_INT_REG(r5,c1,r4) | BLE_ID_REG_INT(c2,r5,c3)","r1=R23;r2=R22;r3=R20;r4=R14;r5=R19;c1=int:1;c2=label@9378;c3=int:0","rxjson",9355
112,60000,3,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | NULL_REG(r2) | NULL_REG(r3) | NULL_REG(r4)","c1=label@1940;r1=R38;r2=R26;r3=R25;r4=R24","rxjson",1476
113,60000,3,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | SCOPY_REG_REG(r4,r5)","r1=R24;r2=R23;r3=R22;r4=R38;r5=R21","rxjson",10404
114,55000,2,1,6,over_3_symbols,"ILTE_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | NULL_REG(r4) | NULL_REG(r5)","r1=R8;r2=R1;r3=R3;c1=label@11055;r4=R13;r5=R14","rxjson",9228
115,50000,1,1,6,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | SCOPY_REG_REG(r3,r4) | REQ_REG_REG_STRING(r5,r3,c1)","r1=R23;r2=R22;r3=R38;r4=R21;r5=R35;c1=string@322688","rxjson",10406
116,50000,1,1,6,over_3_symbols,"ENDLIFE_REG(r1) | SCOPY_REG_REG(r2,r3) | REQ_REG_REG_STRING(r4,r2,c1) | BRT_ID_REG(c2,r4)","r1=R22;r2=R38;r3=R21;r4=R35;c1=string@322688;c2=label@10424","rxjson",10408
117,50000,2,1,6,over_3_symbols,"IGTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c3,r1)","r1=R46;r2=R60;c1=int:0;c2=label@12230;r3=R55;c3=label@12303","rxjson",12219
118,50000,2,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGTE_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2) | ILT_REG_REG_REG(r2,r3,r4)","r1=R50;c1=int:-1;r2=R46;r3=R60;c2=int:0;c3=label@12230;r4=R55","rxjson",12216
119,50000,1,1,6,over_3_symbols,"REQ_REG_REG_STRING(r1,r2,c1) | BRT_ID_REG(c2,r1) | REQ_REG_REG_STRING(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R35;r2=R38;c1=string@322688;c2=label@10424;c3=string@1905032;c4=label@10429","rxjson",10413
120,50000,1,1,6,over_3_symbols,"SCOPY_REG_REG(r1,r2) | REQ_REG_REG_STRING(r3,r1,c1) | BRT_ID_REG(c2,r3) | REQ_REG_REG_STRING(r3,r1,c3)","r1=R38;r2=R21;r3=R35;c1=string@322688;c2=label@10424;c3=string@1905032","rxjson",10410
121,40000,2,1,7,over_3_symbols,"BCMPB_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r4,c3)","r1=R73;r2=R82;r3=R76;c1=int:0;c2=label@12759;r4=R72;c3=int:1","rxjson",12743
122,40000,1,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | LOAD_REG_INT(r4,c4)","c1=label@1905;r1=R19;r2=R49;c2=int:-1;r3=R50;c3=int:0;r4=R45;c4=int:13","rxjson",1619
123,40000,1,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | SETTP_REG_INT(r4,c4)","c1=label@12313;r1=R46;r2=R50;c2=int:-1;r3=R70;c3=int:13;r4=R58;c4=int:256","rxjson",12307
124,40000,2,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | BLEN_REG_REG(r3,r1) | COPY_REG_REG(r4,r3)","r1=R22;r2=R0;r3=R23;c1=int:0;r4=R5","rxjson",1151
125,40000,2,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | BCMPB_REG_REG_REG(r1,r3,r4) | IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R73;r2=R74;r3=R82;r4=R76;c1=int:0;c2=label@12759","rxjson",12740
126,40000,1,1,8,over_3_symbols,"IEQ_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2) | LOAD_REG_INT(r5,c3)","r1=R46;r2=R60;r3=R55;c1=label@12313;r4=R50;c2=int:-1;r5=R70;c3=int:13","rxjson",12303
127,40000,1,1,8,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2) | LOAD_REG_INT(r5,c3)","r1=R19;r2=R27;r3=R37;c1=label@1905;r4=R49;c2=int:-1;r5=R50;c3=int:0","rxjson",1615
128,40000,1,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | SETTP_REG_INT(r4,c4)","r1=R49;c1=int:-1;r2=R50;c2=int:0;r3=R45;c3=int:13;r4=R33;c4=int:256","rxjson",1622
129,35000,1,1,6,over_3_symbols,"BLEN_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | IADD_REG_REG_REG(r4,r5,r3) | IGT_REG_REG_REG(r4,r4,r6)","r1=R92;r2=R91;r3=R75;r4=R73;r5=R74;r6=R79","rxjson",12718
130,35000,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1) | BLEN_REG_REG(r4,r3)","r1=R76;r2=R90;r3=R91;r4=R92;c1=int:0","rxjson",12709
131,35000,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | IADD_REG_REG_REG(r3,r4,r1) | IGT_REG_REG_REG(r3,r3,r5) | BRF_ID_REG(c1,r3)","r1=R75;r2=R92;r3=R73;r4=R74;r5=R79;c1=label@12740","rxjson",12721
132,35000,1,1,8,over_3_symbols,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | LOAD_REG_BINARY(r7,c1)","r1=R82;r2=R101;r3=R79;r4=R102;r5=R74;r6=R103;r7=R90;c1=binary@2345280","rxjson",12697
133,35000,1,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LOAD_REG_BINARY(r5,c1) | COPY_REG_REG(r6,r5)","r1=R79;r2=R102;r3=R74;r4=R103;r5=R90;c1=binary@2345280;r6=R76","rxjson",12700
134,35000,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_BINARY(r3,c1) | COPY_REG_REG(r4,r3) | COPY_REG_REG(r5,r4)","r1=R74;r2=R103;r3=R90;c1=binary@2345280;r4=R76;r5=R91","rxjson",12703
135,35000,1,1,6,over_3_symbols,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r2,c3) | BR_ID(c4)","r1=R73;c1=int:0;c2=label@12759;r2=R72;c3=int:1;c4=label@12767","rxjson",12747
136,35000,1,1,6,over_3_symbols,"LOAD_REG_BINARY(r1,c1) | COPY_REG_REG(r2,r1) | COPY_REG_REG(r3,r2) | LOAD_REG_INT(r4,c2)","r1=R90;c1=binary@2345280;r2=R76;r3=R91;r4=R92;c2=int:0","rxjson",12706
137,35000,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | BLEN_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | IADD_REG_REG_REG(r4,r5,r3)","r1=R92;c1=int:0;r2=R91;r3=R75;r4=R73;r5=R74","rxjson",12715
138,30000,1,1,6,over_3_symbols,"BRT_ID_REG(c1,r1) | IGT_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1) | BR_ID(c4)","c1=label@13186;r1=R71;r2=R79;c2=int:57;c3=label@13191;c4=label@13207","rxjson",13179
139,25000,5,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2) | IEQ_REG_REG_REG(r2,r4,r5)","c1=label@9362;r1=R25;r2=R26;r3=R22;c2=int:0;c3=label@9333;r4=R14;r5=R24","rxjson",9319
140,25000,5,1,7,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_REG(r1,r3,r4) | BRF_ID_REG(c3,r1)","r1=R26;r2=R22;c1=int:0;c2=label@9333;r3=R14;r4=R24;c3=label@9344","rxjson",9322
141,20000,1,1,7,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r3,r3,c3) | BR_ID(c4)","r1=R74;r2=R79;c1=int:48;c2=label@13146;r3=R103;c3=int:1;c4=label@13207","rxjson",13133
142,20000,4,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c1)","r1=R5;c1=int:0;r2=R2;r3=R3;r4=R1","rxjson",1120
143,20000,4,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | STRLEN_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1) | BR_ID(c2)","r1=R8;c1=int:0;r2=R9;r3=R10;c2=label@9197","rxjson",9186
144,20000,4,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | STRLEN_REG_REG(r3,r1) | ICOPY_REG_REG(r4,r3)","r1=R9;r2=R40;r3=R8;c1=int:0;r4=R10","rxjson",9183
145,10000,1,1,5,over_3_symbols,"BCOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | COPY_REG_REG(r3,r1) | IEQ_REG_REG_INT(r2,r4,c1)","r1=R52;r2=R42;r3=R28;r4=R31;c1=int:0","rxjson",14527
146,10000,1,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | IGTE_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c3,r1)","c1=label@13117;r1=R74;r2=R103;c2=int:1;r3=R75;c3=label@13129","rxjson",13110
147,10000,1,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r3,c2) | MINATTRS_REG_REG_INT(r4,r2,c3) | LINKATTR1_REG_REG_REG(r5,r4,r2)","c1=label@14761;r1=R48;r2=R45;r3=R84;c2=int:1;r4=R86;c3=int:0;r5=R42","rxjson",14470
148,10000,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r4,r2,c3)","c1=label@14470;r1=R48;r2=R84;r3=R85;c2=label@14761;r4=R45;c3=int:1","rxjson",14463
149,10000,1,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | ISUB_REG_REG_REG(r2,r3,r4) | ISUB_REG_REG_INT(r5,r2,c2) | COPY_REG_REG(r2,r6)","c1=label@14624;r1=R42;r2=R26;r3=R40;r4=R30;r5=R53;c2=int:2;r6=R28","rxjson",14539
150,10000,2,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r3,r2) | BR_ID(c3)","c1=label@10974;r1=R34;r2=R30;c2=int:0;r3=R35;c3=label@10987","rxjson",10963
151,10000,1,1,9,over_3_symbols,"COPY_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3) | ISUB_REG_REG_REG(r5,r6,r7)","r1=R28;r2=R52;r3=R42;r4=R31;c1=int:0;c2=label@14624;r5=R26;r6=R40;r7=R30","rxjson",14532
152,10000,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | BLEN_REG_REG(r3,r1) | ICOPY_REG_REG(r4,r3)","r1=R26;r2=R28;r3=R24;c1=int:0;r4=R54","rxjson",14550
153,10000,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | IEQ_REG_REG_INT(r4,r4,c1)","r1=R30;r2=R29;r3=R28;r4=R55;c1=int:1","rxjson",14743
154,10000,2,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | REQ_REG_REG_STRING(r4,r4,c1)","r1=R22;r2=R23;r3=R24;r4=R27;c1=string@322688","rxjson",9401
155,10000,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | INE_REG_REG_REG(r3,r4,r3) | ICOPY_REG_REG(r1,r3)","r1=R26;r2=R24;r3=R54;r4=R53","rxjson",14564
156,10000,2,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | REQ_REG_REG_STRING(r3,r3,c1) | BRF_ID_REG(c2,r3)","r1=R23;r2=R24;r3=R27;c1=string@322688;c2=label@9420","rxjson",9403
157,10000,1,1,6,over_3_symbols,"ENDLIFE_REG(r1) | INE_REG_REG_REG(r2,r3,r2) | ICOPY_REG_REG(r4,r2) | BRTF_ID_ID_REG(c1,c2,r4)","r1=R24;r2=R54;r3=R53;r4=R26;c1=label@14582;c2=label@14590","rxjson",14566
158,10000,1,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | MINATTRS_REG_REG_INT(r3,r1,c2) | LINKATTR1_REG_REG_REG(r4,r3,r1) | IEQ_REG_REG_INT(r5,r4,c2)","r1=R45;r2=R84;c1=int:1;r3=R86;c2=int:0;r4=R42;r5=R41","rxjson",14473
159,10000,1,1,9,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | MINATTRS_REG_REG_INT(r7,r8,c1)","r1=R30;r2=R22;r3=R40;r4=R17;r5=R31;r6=R18;r7=R87;r8=R45;c1=int:0","rxjson",14497
160,10000,1,1,8,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | MINATTRS_REG_REG_INT(r5,r6,c1) | LINKATTR1_REG_REG_REG(r7,r5,r6)","r1=R40;r2=R17;r3=R31;r4=R18;r5=R87;r6=R45;c1=int:0;r7=R42","rxjson",14500
161,10000,1,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | MINATTRS_REG_REG_INT(r3,r4,c1) | LINKATTR1_REG_REG_REG(r5,r3,r4) | SCOPY_REG_REG(r6,r5)","r1=R31;r2=R18;r3=R87;r4=R45;c1=int:0;r5=R42;r6=R29","rxjson",14503
162,10000,1,1,6,over_3_symbols,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r2,r2,c3) | IGTE_REG_REG_REG(r1,r2,r3)","r1=R74;c1=int:45;c2=label@13117;r2=R103;c3=int:1;r3=R75","rxjson",13106
163,10000,1,1,9,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ISUB_REG_REG_REG(r3,r4,r5) | ISUB_REG_REG_INT(r6,r3,c3)","r1=R42;r2=R31;c1=int:0;c2=label@14624;r3=R26;r4=R40;r5=R30;r6=R53;c3=int:2","rxjson",14535
164,10000,1,1,6,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4)","r1=R41;r2=R42;c1=int:0;c2=label@14759;r3=R38;r4=R80","rxjson",14485
165,10000,1,1,8,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r4,r2,c2) | MINATTRS_REG_REG_INT(r5,r4,c3)","r1=R48;r2=R84;r3=R85;c1=label@14761;r4=R45;c2=int:1;r5=R86;c3=int:0","rxjson",14466
166,10000,1,1,6,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c2) | BLEN_REG_REG(r4,r2)","r1=R53;r2=R26;c1=int:2;r3=R28;r4=R24;c2=int:0","rxjson",14546
167,10000,1,1,8,over_3_symbols,"ISUB_REG_REG_REG(r1,r2,r3) | ISUB_REG_REG_INT(r4,r1,c1) | COPY_REG_REG(r1,r5) | LOAD_REG_INT(r6,c2)","r1=R26;r2=R40;r3=R30;r4=R53;c1=int:2;r5=R28;r6=R24;c2=int:0","rxjson",14542
168,10000,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | BCOPY_REG_REG(r4,r1) | UNLINK_REG(r1) | COPY_REG_REG(r5,r4)","r1=R42;r2=R89;r3=R45;r4=R52;r5=R28","rxjson",14523
169,10000,1,1,6,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | UNLINK_REG(r1) | BRF_ID_REG(c2,r4)","r1=R42;r2=R86;r3=R45;r4=R41;c1=int:0;c2=label@14759","rxjson",14481
170,10000,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1) | ICOPY_REG_REG(r1,r4) | UNLINK_REG(r1)","r1=R38;r2=R41;r3=R0;r4=R36;c1=int:0","rxjson",10669
171,10000,1,1,6,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r4,r1) | UNLINK_REG(r1) | MINATTRS_REG_REG_INT(r5,r3,c1)","r1=R42;r2=R87;r3=R45;r4=R29;r5=R89;c1=int:0","rxjson",14510
172,10000,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | BLEN_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1) | BR_ID(c2)","r1=R24;c1=int:0;r2=R26;r3=R54;c2=label@14564","rxjson",14553
173,10000,2,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | SCOPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c2) | STRLEN_REG_REG(r4,r2)","r1=R1;c1=int:1;r2=R12;r3=R40;r4=R11;c2=int:0","rxjson",9213
174,10000,1,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | BCOPY_REG_REG(r4,r3) | UNLINK_REG(r3)","r1=R89;r2=R45;c1=int:0;r3=R42;r4=R52","rxjson",14519
175,10000,1,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | IEQ_REG_REG_INT(r4,r3,c1) | UNLINK_REG(r3)","r1=R86;r2=R45;c1=int:0;r3=R42;r4=R41","rxjson",14477
176,10000,1,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | SCOPY_REG_REG(r4,r3) | UNLINK_REG(r3)","r1=R87;r2=R45;c1=int:0;r3=R42;r4=R29","rxjson",14506
177,10000,2,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1) | STRLEN_REG_REG(r4,r3)","r1=R9;r2=R22;r3=R36;r4=R38;c1=int:0","rxjson",10634
178,10000,1,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | MINATTRS_REG_REG_INT(r3,r4,c1) | LINKATTR1_REG_REG_REG(r2,r3,r4)","r1=R29;r2=R42;r3=R89;r4=R45;c1=int:0","rxjson",14514
179,10000,1,1,7,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R42;c1=label@14759;r2=R41;r3=R38;r4=R80;r5=R30;r6=R22","rxjson",14489
180,10000,1,1,6,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | IEQ_REG_REG_INT(r1,r4,c1) | BRF_ID_REG(c2,r1)","r1=R42;r2=R28;r3=R52;r4=R31;c1=int:0;c2=label@14624","rxjson",14530
181,10000,1,1,5,over_3_symbols,"UNLINK_REG(r1) | MINATTRS_REG_REG_INT(r2,r3,c1) | LINKATTR1_REG_REG_REG(r1,r2,r3) | BCOPY_REG_REG(r4,r1)","r1=R42;r2=R89;r3=R45;c1=int:0;r4=R52","rxjson",14517
182,5000,1,1,7,over_3_symbols,"BLEN_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1) | SETTP_REG_INT(r5,c2)","r1=R23;r2=R22;r3=R5;r4=R24;c1=int:5;r5=R16;c2=int:256","rxjson",1157
183,5000,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | ICOPY_REG_REG(r2,r3) | ENDLIFE_REG(r3) | IEQ_REG_REG_REG(r4,r5,r6)","c1=label@14759;r1=R55;r2=R21;r3=R45;r4=R57;r5=R84;r6=R85","rxjson",14753
184,5000,1,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1) | LOAD_REG_INT(r2,c4)","c1=label@12628;r1=R82;r2=R110;c2=int:0;c3=label@12643;c4=int:1","rxjson",12621
185,5000,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_REG(r4,r5,r3)","c1=label@10558;r1=R21;r2=R36;r3=R23;c2=label@10569;r4=R19;r5=R35","rxjson",10551
