opcode	class	family	components	terminal_transition	coherence_shape	side_effect_policy	review_bar	producer	handler_shape	coherence_review	implementation_review	decision	review_notes
SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG	1	call-window-preparation	SETTP_REG_INT;SWAP_REG_REG;SETTP_REG_INT;SWAP_REG_REG	sequential	call-setup	exact-effects	normal	rxas-backstop	inline-status-and-swaps	pending	pending-hot-path-audit	undecided	
NULLN_REG_REG	1	multi-null	NULL_REG;NULL_REG	sequential	homogeneous-bulk	exact-effects	normal	rxas-backstop	inline-value-zero	pending	pending-hot-path-audit	undecided	
NULLN_REG_REG_REG	1	multi-null	NULL_REG;NULL_REG;NULL_REG	sequential	homogeneous-bulk	exact-effects	normal	rxas-backstop	inline-value-zero	pending	pending-hot-path-audit	undecided	
NULLN_REG_REG_REG_REG	1	multi-null	NULL_REG;NULL_REG;NULL_REG;NULL_REG	sequential	homogeneous-bulk	exact-effects	normal	rxas-backstop	inline-value-zero	pending	pending-hot-path-audit	undecided	
ILOADCOPY_REG_REG_INT	1	constant-load-direct-destination	LOAD_REG_INT;ICOPY_REG_REG	sequential	producer-consumer	exact-effects	coherence-review	rxas-backstop	set-int-and-field-copy	pending	pending-hot-path-audit	undecided	Retains the component load register as an explicit output.
ILOADN_REG_INT_REG_INT	1	constant-load-direct-destination	LOAD_REG_INT;LOAD_REG_INT	sequential	homogeneous-bulk	exact-effects	normal	rxas-backstop	two-set-int-calls	pending	pending-hot-path-audit	undecided	
ILOADN_REG_REG_INT	1	constant-load-direct-destination	LOAD_REG_INT;LOAD_REG_INT	sequential	homogeneous-bulk	exact-effects	normal	rxas-backstop	two-set-int-calls	pending	pending-hot-path-audit	undecided	
SWAPCALL_REG_FUNC_REG_REG_REG	2	call-window-through-call	SWAP_REG_REG;CALL_REG_FUNC_REG	call_enter_frame	call-setup-and-call	exact-effects	normal	rxc-direct	inline-swap-and-call-macro	pending	pending-hot-path-audit	undecided	
SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	2	call-window-through-call	SETTP_REG_INT;SWAP_REG_REG;CALL_REG_FUNC_REG	call_enter_frame	call-setup-and-call	exact-effects	normal	rxc-direct	inline-status-swap-and-call-macro	pending	pending-hot-path-audit	undecided	
SETTPCALL_REG_FUNC_REG_REG_INT	2	call-window-through-call	SETTP_REG_INT;CALL_REG_FUNC_REG	call_enter_frame	call-setup-and-call	exact-effects	normal	rxc-direct	inline-status-and-call-macro	pass-coherent-call-setup	pass-current-macro-fastest	retain	Exact 20M-call dual-VM review rejects the global CALL-average slowdown; matched return-image layout saves in both VMs.
UNLINKN_REG_REG	2	unlink-cleanup	UNLINK_REG;UNLINK_REG	sequential	homogeneous-cleanup	exact-effects	normal	rxc-combiner	inline-alias-restores	pending	pending-hot-path-audit	undecided	
ISETUNLINK_REG_REG	2	unlink-cleanup	ICOPY_REG_REG;UNLINK_REG	sequential	store-and-cleanup	exact-effects	normal	rxc-direct-or-combiner	inline-field-copy-and-restore	pending	pending-hot-path-audit	undecided	
IGETUNLINK_REG_REG	2	unlink-cleanup	ICOPY_REG_REG;UNLINK_REG	sequential	load-and-cleanup	exact-effects	normal	rxc-direct-or-combiner	save-restore-and-field-copy	pending	pending-hot-path-audit	undecided	
ILOADSETUNLINK_REG_INT	2	unlink-cleanup	LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG	sequential	constant-store-and-cleanup	compiler-temp-elided	normal	rxc-direct	set-int-through-alias-and-restore	pending	pending-hot-path-audit	undecided	Compact form removes the compiler-only loaded register.
ISETUNLINKN_REG_REG_REG	2	unlink-cleanup	ICOPY_REG_REG;UNLINK_REG;UNLINK_REG	sequential	store-and-cleanup	exact-effects	normal	rxc-combiner	field-copy-and-two-restores	pending	pending-hot-path-audit	undecided	
UNLINKBR_REG_ID	2	unlink-cleanup	UNLINK_REG;BR_ID	branch_same_frame	cleanup-and-branch	exact-effects	normal	rxc-combiner	restore-and-direct-branch	pending	pending-hot-path-audit	undecided	
ILOADSETUNLINKN_REG_INT_REG	2	unlink-cleanup	LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG;UNLINK_REG	sequential	constant-store-and-cleanup	compiler-temp-elided	normal	rxc-direct	set-int-through-alias-and-two-restores	pending	pending-hot-path-audit	undecided	Compact form removes the compiler-only loaded register.
SETLINKATTR1_REG_REG_INT_INT	2	attribute-index-link	SETATTRS_REG_INT;LINKATTR1_REG_REG_INT	sequential	capacity-and-link	exact-effects	normal	rxc-direct	set-capacity-validate-and-link	pending	pending-hot-path-audit	undecided	
SETLINKATTR1_REG_REG_INT_REG	2	attribute-index-link	SETATTRS_REG_INT;LINKATTR1_REG_REG_REG	sequential	capacity-and-link	exact-effects	normal	rxc-direct-or-combiner	set-capacity-validate-and-link	pending	pending-hot-path-audit	undecided	
SETLINKATTR1_REG_REG_INT_REG_INT	2	attribute-index-link	SETATTRS_REG_INT;IADD_REG_REG_INT;LINKATTR1_REG_REG_REG	sequential	capacity-index-and-link	compiler-temp-elided	normal	rxc-direct-or-combiner	set-capacity-checked-add-and-link	pending	pending-hot-path-audit	undecided	The adjusted-index temporary is local to the handler.
MINLINKATTR1_REG_REG_INT	2	attribute-index-link	MINATTRS_REG_INT;LINKATTR1_REG_REG_INT	sequential	ensure-capacity-and-link	exact-effects	normal	rxc-direct-or-combiner	conditional-capacity-and-link	pending	pending-hot-path-audit	undecided	
MINLINKATTR1_REG_REG_REG_INT	2	attribute-index-link	MINATTRS_REG_REG_INT;LINKATTR1_REG_REG_REG	sequential	ensure-capacity-index-and-link	exact-effects	normal	rxc-direct-or-combiner	checked-add-conditional-capacity-and-link	pending	pending-hot-path-audit	undecided	
ITOF_REG_REG	2	typed-conversion-copy	ICOPY_REG_REG;ITOF_REG	sequential	copy-and-convert	exact-effects	normal	rxc-combiner	inline-int-and-float-writes	pending	pending-hot-path-audit	undecided	
STOI_REG_REG	2	typed-conversion-copy	STOI_REG;ICOPY_REG_REG	sequential	convert-and-copy	compiler-temp-elided	normal	rxc-combiner	direct-string-to-destination-int	pending	pending-hot-path-audit	undecided	Does not retain the source register integer-field side effect.
FDIVSUB_REG_REG_REG_FLOAT	2	arithmetic	FDIV_REG_REG_REG;FSUB_REG_REG_FLOAT	sequential	producer-consumer	exact-effects	coherence-review	rxc-combiner	two-inline-float-operations	pending	pending-hot-path-audit	undecided	Retains the intermediate quotient register.
FMULTICOPY_REG_FLOAT_REG_REG	2	arithmetic	FMULT_REG_REG_FLOAT;ICOPY_REG_REG	sequential	independent-bundle	exact-effects	clear-advantage-required	rxc-combiner	inline-float-multiply-and-int-copy	pending	pending-hot-path-audit	undecided	Couples independent register effects.
FSUBILOAD_REG_REG_FLOAT_REG_INT	2	arithmetic	FSUB_REG_REG_FLOAT;LOAD_REG_INT	sequential	independent-bundle	exact-effects	clear-advantage-required	rxc-combiner	inline-float-subtract-and-set-int	pending	pending-hot-path-audit	undecided	Couples independent register effects.
ITOSCONCAT_REG_STRING_REG	2	string-conversion-concat	ITOS_REG;CONCAT_REG_STRING_REG	sequential	producer-consumer	exact-effects	clear-advantage-required	rxc-combiner	conversion-and-concat-helpers	pending	pending-hot-path-audit	undecided	Retains the converted source register as an explicit output.
SCONCATITOS_REG_STRING_REG	2	string-conversion-concat	SCONCAT_REG_REG_STRING;ITOS_REG	sequential	independent-bundle	exact-effects	clear-advantage-required	rxc-combiner	sconcat-and-conversion-helpers	pending	pending-hot-path-audit	undecided	Couples independent register effects.
ILOADGETATTRS_REG_INT_REG_REG_INT	2	load-get-attributes	LOAD_REG_INT;GETATTRS_REG_REG_INT	sequential	independent-bundle	exact-effects	clear-advantage-required	rxc-combiner	two-set-int-calls	pending	pending-hot-path-audit	undecided	Couples independent register effects.
IGETATTR1_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_INT;ICOPY_REG_REG;UNLINK_REG	sequential	direct-attribute-read	compiler-temp-elided	normal	rxc-direct	direct-validated-field-read	pending	pending-hot-path-audit	undecided	Elides the compiler-only attribute alias.
MINIGETATTR1_REG_REG_INT	2	attribute-index-link	MINATTRS_REG_INT;LINKATTR1_REG_REG_INT;ICOPY_REG_REG;UNLINK_REG	sequential	direct-attribute-read	compiler-temp-elided	normal	rxc-direct	conditional-capacity-and-field-read	pending	pending-hot-path-audit	undecided	Elides the compiler-only attribute alias.
ISETATTR1_REG_INT_REG	2	attribute-index-link	LINKATTR1_REG_REG_INT;ICOPY_REG_REG;UNLINK_REG	sequential	direct-attribute-write	compiler-temp-elided	normal	rxc-direct-or-combiner	direct-validated-field-write	pending	pending-hot-path-audit	undecided	Elides the compiler-only attribute alias.
ISETATTR1_REG_INT_INT	2	attribute-index-link	LINKATTR1_REG_REG_INT;LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG	sequential	direct-attribute-write	compiler-temp-elided	normal	rxc-direct	direct-validated-constant-field-write	pending	pending-hot-path-audit	undecided	Elides the compiler-only alias and loaded register.
RELINKATTR1_REG_REG_INT	2	attribute-index-link	UNLINK_REG;LINKATTR1_REG_REG_INT	sequential	relink	exact-effects	normal	rxc-combiner	restore-validate-and-link	pending	pending-hot-path-audit	undecided	
UNLINKRELINKATTR1_REG_REG_REG_INT	2	attribute-index-link	UNLINK_REG;UNLINK_REG;LINKATTR1_REG_REG_INT	sequential	cleanup-and-relink	exact-effects	normal	rxc-combiner	two-restores-validate-and-link	pending	pending-hot-path-audit	undecided	
LINKSETATTRS_REG_REG_INT_INT	2	attribute-index-link	LINKATTR1_REG_REG_INT;SETATTRS_REG_INT	sequential	link-and-capacity	exact-effects	normal	rxc-combiner	validate-link-and-set-capacity	pending	pending-hot-path-audit	undecided	
LINKSETATTRSADD_REG_REG_INT_INT_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_INT;SETATTRS_REG_INT;IADD_REG_REG_INT	sequential	link-capacity-and-index	exact-effects	coherence-review	rxc-combiner	validate-link-capacity-and-checked-add	pending	pending-hot-path-audit	undecided	Retains the calculated index register.
LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_INT;SETATTRS_REG_INT;IADD_REG_REG_INT;LINKATTR1_REG_REG_REG	sequential	link-capacity-index-and-link	compiler-temp-elided	normal	rxc-combiner	validate-link-capacity-checked-add-and-link	pending	pending-hot-path-audit	undecided	The adjusted-index temporary is local to the handler.
SETATTRSADD_REG_INT_REG_REG_INT	2	attribute-index-link	SETATTRS_REG_INT;IADD_REG_REG_INT	sequential	capacity-and-index	exact-effects	coherence-review	rxc-combiner	set-capacity-and-checked-add	pending	pending-hot-path-audit	undecided	Retains the calculated index register.
LINKILOAD_REG_REG_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_REG;LOAD_REG_INT	sequential	independent-bundle	exact-effects	clear-advantage-required	rxc-combiner	validate-link-and-set-int	pending	pending-hot-path-audit	undecided	Couples an alias result and an independent load.
SETLINKILOAD_REG_REG_INT_REG_REG_INT	2	attribute-index-link	SETATTRS_REG_INT;LINKATTR1_REG_REG_REG;LOAD_REG_INT	sequential	independent-bundle	exact-effects	clear-advantage-required	rxc-combiner	capacity-validate-link-and-set-int	pending	pending-hot-path-audit	undecided	Couples capacity/link work and an independent load.
UNLINKLINKATTR1_REG_REG_REG_INT	2	attribute-index-link	UNLINK_REG;LINKATTR1_REG_REG_INT	sequential	cleanup-and-link	exact-effects	normal	rxc-combiner	restore-validate-and-link	pending	pending-hot-path-audit	undecided	Unlike RELINKATTR1 the unlinked and linked destination registers differ.
LINKATTR1ADD_REG_REG_REG_INT	2	attribute-index-link	IADD_REG_REG_INT;LINKATTR1_REG_REG_REG	sequential	index-and-link	compiler-temp-elided	normal	rxc-combiner	checked-add-validate-and-link	pending	pending-hot-path-audit	undecided	The adjusted-index temporary is local to the handler.
ISETATTR1_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_REG;LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG	sequential	direct-attribute-write	compiler-temp-elided	normal	rxc-direct	direct-register-indexed-constant-write	pending	pending-hot-path-audit	undecided	Elides the compiler-only alias and loaded register.
STOIATTR1_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_INT;STOI_REG;ICOPY_REG_REG;UNLINK_REG	sequential	direct-attribute-conversion	compiler-temp-elided	normal	rxc-combiner	direct-string-attribute-conversion	pending	pending-hot-path-audit	undecided	Elides alias and conversion-temporary effects.
MINSTOIATTR1_REG_REG_INT	2	attribute-index-link	MINATTRS_REG_INT;LINKATTR1_REG_REG_INT;STOI_REG;ICOPY_REG_REG;UNLINK_REG	sequential	direct-attribute-conversion	compiler-temp-elided	normal	rxc-direct-or-combiner	capacity-and-direct-string-attribute-conversion	pending	pending-hot-path-audit	undecided	Elides alias and conversion-temporary effects.
ILOADSETUNLINK_REG_REG_INT	2	unlink-cleanup	LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG	sequential	constant-store-and-cleanup	trace-temp-preserved	clear-advantage-required	rxc-combiner	set-int-copy-and-restore	pending	pending-hot-path-audit	undecided	Wide variant retains the loaded register for TRACE-visible writes.
ILOADSETUNLINKN_REG_REG_INT_REG	2	unlink-cleanup	LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG;UNLINK_REG	sequential	constant-store-and-cleanup	trace-temp-preserved	clear-advantage-required	rxc-combiner	set-int-copy-and-two-restores	pending	pending-hot-path-audit	undecided	Wide variant retains the loaded register for TRACE-visible writes.
LINKILOADSETUNLINK_REG_REG_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_REG;LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG	sequential	direct-attribute-write	trace-temp-preserved	clear-advantage-required	rxc-combiner	validate-link-set-int-copy-and-restore	pending	pending-hot-path-audit	undecided	Wide variant retains alias and loaded-register TRACE-visible writes.
