Process:         rxvm [39011]
Path:            /private/tmp/*/rxvm
Load Address:    0x102418000
Identifier:      rxvm
Version:         ???
Code Type:       ARM64
Platform:        macOS
Parent Process:  zsh [39009]
Target Type:     live task

Date/Time:       2026-07-23 19:41:16.683 +0100
Launch Time:     2026-07-23 19:41:16.679 +0100
OS Version:      macOS 26.5.2 (25F84)
Report Version:  7
Analysis Tool:   /usr/bin/heap

Physical footprint:         13.7M
Physical footprint (peak):  13.7M
Idle exit:                  untracked
----

Process 39011: 3 zones

All zones: 3099 nodes malloced - Sizes: 2480KB[1] 240KB[1] 160KB[1] 144KB[3] 80KB[3] 64KB[5] 48KB[1] 32KB[1] 28KB[2] 24KB[2] 20KB[1] 16KB[5] 12KB[3] 10KB[4] 8KB[1] 7KB[3] 6KB[6] 5KB[7] 4KB[3] 3.5KB[5] 3KB[12] 2.5KB[7] 2KB[9] 1.75KB[9] 1.5KB[9] 1.25KB[17] 1KB[9] 896[9] 768[13] 640[23] 512[6] 448[8] 384[13] 320[17] 256[32] 224[152] 192[25] 160[346] 128[148] 112[58] 96[23] 80[58] 64[162] 48[942] 32[450] 16[484] 

Found:  163 ObjC classes  49 Swift classes  66 CFTypes
Derived 48 type names for non-objects from allocation backtraces

-----------------------------------------------------------------------
All zones: 3099 nodes (4862592 bytes)

   COUNT      BYTES       AVG   CLASS_NAME                                        TYPE    BINARY
       4        192      48.0   NSMutableDictionary                               ObjC    CoreFoundation
       2        640     320.0   ColorSyncProfile                                  CFType  ColorSync
       1        640     640.0   ColorSyncProfile                                  CFType  ColorSync
       1        128     128.0   malloc in cacheCanonicalSpecializedMetadata(swift::TargetTypeContextDescriptor<swift::InProcess> const*, long*)::$_0::__invoke(void*)  C++     libswiftCore.dylib
       1        224     224.0   malloc in cacheCanonicalSpecializedMetadata(swift::TargetTypeContextDescriptor<swift::InProcess> const*, long*)::$_0::__invoke(void*)  C++     libswiftCore.dylib
       1        320     320.0   malloc in cacheCanonicalSpecializedMetadata(swift::TargetTypeContextDescriptor<swift::InProcess> const*, long*)::$_0::__invoke(void*)  C++     libswiftCore.dylib
       2        256     128.0   NSMutableDictionary (Storage)                     C       CoreFoundation
       1        384     384.0   NSMutableDictionary (Storage)                     C       CoreFoundation
       2         96      48.0   calloc in swift::ConcurrentReadableHashMap<swift::HashMapElementWrapper<swift::GenericCacheEntry>, swift::Mutex>::resize(swift::ConcurrentReadableHashMap<swift::HashMapElementWrapper<swift::GenericCacheEntry>, swift::Mutex>::IndexStorage, unsigned char, swift::HashMapElementWrapper<swift::GenericCacheEntry>*)  C++     libswiftCore.dylib
       1         80      80.0   calloc in swift::ConcurrentReadableHashMap<swift::HashMapElementWrapper<swift::GenericCacheEntry>, swift::Mutex>::resize(swift::ConcurrentReadableHashMap<swift::HashMapElementWrapper<swift::GenericCacheEntry>, swift::Mutex>::IndexStorage, unsigned char, swift::HashMapElementWrapper<swift::GenericCacheEntry>*)  C++     libswiftCore.dylib
       1         16      16.0   calloc in nw::object::class_def::register_method_def(nw::object::class_def::method_def const&, void (nw::object::*)())  C++     Network
       1       5120    5120.0   calloc in nw::object::class_def::register_method_def(nw::object::class_def::method_def const&, void (nw::object::*)())  C++     Network
       1         16      16.0   calloc in nw::object::class_def::setup(std::deque<void (nw::object::*)(), nw::c_allocator<void (nw::object::*)()>>&)  C++     Network
       1       5120    5120.0   calloc in nw::object::class_def::setup(std::deque<void (nw::object::*)(), nw::c_allocator<void (nw::object::*)()>>&)  C++     Network
       1        384     384.0   CFDictionary (Key Storage)                        C       CoreFoundation
       1        640     640.0   CFDictionary (Key Storage)                        C       CoreFoundation
       1        384     384.0   CFDictionary (Value Storage)                      C       CoreFoundation
       1        640     640.0   CFDictionary (Value Storage)                      C       CoreFoundation
       1         48      48.0   malloc in new_decplugin                           C       rxvm
       1        320     320.0   malloc in new_decplugin                           C       rxvm
       2        256     128.0   Swift._ContiguousArrayStorage<Swift.String>       Swift   libswiftCore.dylib
       2        224     112.0   NSURL                                             ObjC    CoreFoundation
       1         64      64.0   Swift._ContiguousArrayStorage<Swift.Array<Swift.UInt8>>  Swift   libswiftCore.dylib
       1        160     160.0   Swift._ContiguousArrayStorage<Swift.Array<Swift.UInt8>>  Swift   libswiftCore.dylib
       2        224     112.0   malloc in __CGTypeRegisterInternal                C       CoreGraphics
       1         96      96.0   CFString                                          ObjC    CoreFoundation
       1        112     112.0   CFString                                          ObjC    CoreFoundation
       2        192      96.0   xpc_dictionary_t                                  ObjC    libxpc.dylib
       2        160      80.0   CFDictionary                                      ObjC    CoreFoundation
       1         32      32.0   malloc in color_space_state_create_icc_with_profile  C       CoreGraphics
       1         64      64.0   malloc in color_space_state_create_icc_with_profile  C       CoreGraphics
       2         96      48.0   malloc in swift::ConcurrentReadableHashMap<swift::HashMapElementWrapper<swift::GenericCacheEntry>, swift::Mutex>::getOrInsertExternallyLocked<swift::MetadataCacheKey, std::pair<swift::GenericCacheEntry*, bool> swift::StableAddressConcurrentReadableHashMap<swift::GenericCacheEntry, swift::TaggedMetadataAllocator<(unsigned short)14>, swift::Mutex>::getOrInsert<swift::MetadataCacheKey, swift::MetadataWaitQueue::Worker&, swift::MetadataRequest&, swift::TargetTypeContextDescriptor<swift::InProcess> const*&, void const* const*&>(swift::MetadataCacheKey, swift::MetadataWaitQueue::Worker&, swift::MetadataRequest&, swift::TargetTypeContextDescriptor<swift::InProcess> const*&, void const* const*&)::'lambda'(swift::HashMapElementWrapper<swift::GenericCacheEntry>*, bool)>(swift::MetadataCacheKey, std::pair<swift::GenericCacheEntry*, bool> swift::StableAddressConcurrentReadableHashMap<swift::GenericCacheEntry, swift::TaggedMetadataAllocator<(unsigned short)14>, swift::Mutex>::getOrInsert<swift::MetadataCacheKey, swift::MetadataWaitQueue::Worker&, swift::MetadataRequest&, swift::TargetTypeContextDescriptor<swift::InProcess> const*&, void const* const*&>(swift::MetadataCacheKey, swift::MetadataWaitQueue::Worker&, swift::MetadataRequest&, swift::TargetTypeContextDescriptor<swift::InProcess> const*&, void const* const*&)::'lambda'(swift::HashMapElementWrapper<swift::GenericCacheEntry>*, bool) const&)  C++     libswiftCore.dylib
       1       6144    6144.0   realloc in rxvm_rebuild_interface_method_registry  C       rxvm
       1       3072    3072.0   calloc in weak_resize(weak_table_t*, unsigned long)  C       libobjc.A.dylib
       1       2560    2560.0   realloc in prep_and_link_module                   C       rxvm
       1       1280    1280.0   calloc in __CFTSDGetTable                         C       CoreFoundation
       1       1280    1280.0   malloc in cache_t::collect_free(bucket_t*, unsigned int)  C++     libobjc.A.dylib
       1        896     896.0   malloc in __CGColorSpaceCreateWithName_block_invoke  C       CoreGraphics
       1        640     640.0   malloc in _CFRuntimeRegisterClass                 C       CoreFoundation
       1        512     512.0   malloc in __ColorSyncProfileCreateWithName_block_invoke  C       ColorSync
       1        320     320.0   malloc in __CFBasicHashGetPtrIndex_block_invoke   C       CoreFoundation
       1        192     192.0   _NSThreadData                                     ObjC    Foundation
       1        128     128.0   calloc in color_space_state_create_device_gray    C       CoreGraphics
       1        128     128.0   calloc in color_space_state_create_device_rgb     C       CoreGraphics
       1        128     128.0   dispatch_queue_t (serial)                         ObjC    libdispatch.dylib
       1         96      96.0   Foundation.LockedState<Foundation._NSSwiftProcessInfo.State>.(_Buffer in $184eabd44)<>  Swift   Foundation
       1         96      96.0   malloc in _CFProcessPath                          C       CoreFoundation
       1         96      96.0   malloc in main                                    C       rxvm
       1         80      80.0   _NSMainThread                                     ObjC    Foundation
       1         80      80.0   _NSSwiftProcessInfo                               Swift   Foundation
       1         80      80.0   calloc in fetch_cache(bool)                       C       libobjc.A.dylib
       1         64      64.0   Foundation.LockedState<Foundation._ProcessInfo.State>.(_Buffer in $184eabd44)<>  Swift   Foundation
       1         64      64.0   malloc in register_rxvmplugin                     C       rxvm
       1         64      64.0   xpc_array_t (Storage)                             C       libxpc.dylib
       1         64      64.0   xpc_pipe_t                                        ObjC    libxpc.dylib
       1         48      48.0   Foundation.LockedState<Swift.Optional<Swift.String>>.(_Buffer in $184eabd44)<>  Swift   Foundation
       1         48      48.0   NSFileManager                                     ObjC    Foundation
       1         48      48.0   _ProcessInfo                                      Swift   Foundation
       1         48      48.0   malloc in rxvm_rebuild_graph_bindings             C       rxvm
       1         48      48.0   xpc_array_t                                       ObjC    libxpc.dylib
       1         32      32.0   _NSFileManagerBridge                              Swift   Foundation
       1         32      32.0   malloc in CGPropertiesCreate                      C       CoreGraphics
       1         32      32.0   malloc in swift_getForeignTypeMetadata            C       libswiftCore.dylib

