rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,129850,2,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1) | IGETUNLINK_REG_REG(r4,r3) | ICOPY_REG_REG(r5,r4)","r1=R11;r2=R23;r3=R7;c1=int:2;r4=R1;r5=R8","benchmark_awfy_richards_opt",2841
76,23246,1,1,11,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | ICOPY_REG_REG(r4,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r6,c2,c3,r1,r7,c4)","r1=R7;r2=R23;c1=int:2;r3=R1;r4=R8;r5=R12;r6=R11;c2=int:20;c3=int:6;r7=R3;c4=int:1","benchmark_awfy_richards_opt",2844
77,23246,1,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | UNLINKN_REG_REG(r3,r4) | COPY_REG_REG(r5,r2)","r1=R5;r2=R23;c1=int:1;r3=R8;r4=R7;r5=R11","benchmark_awfy_richards_opt",2831
78,23246,1,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c2,r1) | LINKATTR1_REG_REG_INT(r1,r2,c3)","r1=R7;r2=R23;c1=int:17;r3=R8;r4=R24;c2=int:0;r5=R5;c3=int:15","benchmark_awfy_richards_opt",2808
79,23246,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r4,r1) | UNLINK_REG(r2) | ICOPY_REG_REG(r5,r4)","r1=R7;r2=R8;r3=R24;c1=int:0;r4=R0;r5=R5","benchmark_awfy_richards_opt",2742
80,23246,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c1,r2) | LINKATTR1_REG_REG_INT(r2,r5,c2) | MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1)","r1=R8;r2=R7;r3=R24;c1=int:0;r4=R5;r5=R23;c2=int:15","benchmark_awfy_richards_opt",2812
81,23246,1,1,9,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c3) | MINLINKATTR1_REG_REG_REG_INT(r4,r3,r5,c4)","c1=int:18;c2=int:1;r1=R6;r2=R23;r3=R8;c3=int:15;r4=R7;r5=R24;c4=int:0","benchmark_awfy_richards_opt",2731
82,23246,1,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r2,r4,c1) | IGETUNLINK_REG_REG(r5,r2)","r1=R8;r2=R7;r3=R11;r4=R23;c1=int:2;r5=R1","benchmark_awfy_richards_opt",2838
83,23246,1,1,5,candidate,"UNLINK_REG(r1) | ICOPY_REG_REG(r2,r3) | ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1)","r1=R8;r2=R5;r3=R0;c1=int:0;c2=label@2766","benchmark_awfy_richards_opt",2750
84,23246,1,1,8,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LINKATTR1_REG_REG_INT(r1,r2,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r1,r5,c3)","r1=R7;r2=R23;c1=int:18;r3=R5;c2=int:17;r4=R8;r5=R24;c3=int:0","benchmark_awfy_richards_opt",2802
85,20921,3,1,7,candidate,"UNLINK_REG(r1) | IEQ_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2) | COPY_REG_REG(r4,r5)","r1=R47;r2=R49;r3=R29;c1=int:0;c2=label@3895;r4=R51;r5=R38","benchmark_awfy_richards_opt",3841
86,20310,1,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | IGTE_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R31;r2=R49;r3=R48;c1=int:4;c2=label@3957","benchmark_awfy_richards_opt",3904
87,20310,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r4,r1) | UNLINK_REG(r2) | IGTE_REG_REG_INT(r1,r4,c2)","r1=R49;r2=R48;r3=R29;c1=int:0;r4=R31;c2=int:4","benchmark_awfy_richards_opt",3899
88,20114,1,1,8,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r2,r1,c3) | MINLINKATTR1_REG_REG_REG_INT(r3,r2,r4,c4)","r1=R9;c1=int:18;c2=int:1;r2=R6;c3=int:17;r3=R5;r4=R10;c4=int:0","benchmark_awfy_richards_opt",2091
89,20114,1,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c2,r1) | IEQ_REG_REG_INT(r5,r6,c2)","r1=R6;r2=R9;c1=int:17;r3=R5;r4=R10;c2=int:0;r5=R7;r6=R11","benchmark_awfy_richards_opt",2097
90,20114,3,1,13,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r2,c1,c2,r6,r4,c3) | SETTP_REG_INT(r2,c4) | CALL3_REG_FUNC_REG_REG_REG(r7,c5,r2,r8,r6)","r1=R16;r2=R11;c1=int:20;c2=int:6;r3=R18;r4=R3;c3=int:1;r5=R19;r6=R7;c4=int:256;r7=R21;c5=func@69176;r8=R24","benchmark_awfy_richards_opt",2939
91,20114,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c1,r2) | IEQ_REG_REG_INT(r4,r5,c1) | BRF_ID_REG(c2,r4)","r1=R5;r2=R6;r3=R10;c1=int:0;r4=R7;r5=R11;c2=label@2120","benchmark_awfy_richards_opt",2101
92,20114,1,1,9,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c3) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c4) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1)","c1=int:18;c2=int:1;r1=R6;r2=R9;c3=int:17;r3=R5;r4=R10;c4=int:0;r5=R7","benchmark_awfy_richards_opt",2093
93,18602,2,1,9,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4) | IEQ_REG_REG_INT(r5,r6,c3)","r1=R21;r2=R64;c1=int:1;c2=label@3721;r3=R25;r4=R63;r5=R22;r6=R1;c3=int:0","benchmark_awfy_richards_opt",3436
94,18588,1,1,10,candidate,"BRF_ID_REG(c1,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c2,c3,r4,r5,c4) | IGETUNLINK_REG_REG(r6,r4) | UNLINK_REG(r2)","c1=label@4328;r1=R49;r2=R44;r3=R57;c2=int:3;c3=int:6;r4=R46;r5=R64;c4=int:1;r6=R47","benchmark_awfy_richards_opt",4231
95,18588,1,1,12,candidate,"COPY_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r1,c3,c4,r6,r7,c5)","r1=R57;r2=R63;r3=R49;r4=R1;c1=int:0;c2=label@4328;r5=R44;c3=int:3;c4=int:6;r6=R46;r7=R64;c5=int:1","benchmark_awfy_richards_opt",4224
96,18588,1,1,12,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c3,c4,r5,r6,c5) | IGETUNLINK_REG_REG(r7,r5)","r1=R49;r2=R1;c1=int:0;c2=label@4328;r3=R44;r4=R57;c3=int:3;c4=int:6;r5=R46;r6=R64;c5=int:1;r7=R47","benchmark_awfy_richards_opt",4227
97,17913,1,1,7,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | LOAD_REG_INT(r4,c2) | ICOPY_REG_REG(r5,r4)","r1=R8;r2=R6;c1=label@3052;r3=R5;r4=R4;c2=int:0;r5=R7","benchmark_awfy_richards_opt",3038
98,14760,1,1,12,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r2,c2,c3,r5,r6,c4) | ILOADSETUNLINKN_REG_REG_INT_REG(r7,r5,c5,r4)","c1=label@3192;r1=R8;r2=R12;r3=R63;r4=R9;c2=int:23;c3=int:6;r5=R11;r6=R64;c4=int:1;r7=R6;c5=int:0","benchmark_awfy_richards_opt",3142
99,14760,1,1,11,candidate,"COPY_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r1,c1,c2,r4,r5,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r6,r4,c4,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r1,c5,c2,r4,r5,c3)","r1=R12;r2=R63;r3=R9;c1=int:23;c2=int:6;r4=R11;r5=R64;c3=int:1;r6=R6;c4=int:0;c5=int:25","benchmark_awfy_richards_opt",3145
100,14760,1,1,7,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINKN_REG_REG(r2,r3) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r4,r5)","r1=R8;r2=R9;c1=int:0;r3=R10;c2=label@3192;r4=R12;r5=R63","benchmark_awfy_richards_opt",3135
101,14760,1,1,10,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c2,c3,r2,r5,c4) | ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c5,c3,r2,r5,c4)","r1=R6;r2=R11;c1=int:0;r3=R9;r4=R12;c2=int:25;c3=int:6;r5=R64;c4=int:1;c5=int:19","benchmark_awfy_richards_opt",3156
102,14760,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | COPY_REG_REG(r6,r2) | BR_ID(c5)","r1=R9;r2=R12;c1=int:19;c2=int:6;r3=R11;r4=R64;c3=int:1;r5=R6;c4=int:0;r6=R63;c5=label@3237","benchmark_awfy_richards_opt",3174
103,14760,1,1,11,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | COPY_REG_REG(r4,r5) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r4,c2,c3,r6,r7,c4)","r1=R9;r2=R10;c1=label@3192;r3=R8;r4=R12;r5=R63;c2=int:23;c3=int:6;r6=R11;r7=R64;c4=int:1","benchmark_awfy_richards_opt",3139
104,14759,1,1,12,candidate,"BRF_ID_REG(c1,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c2,c3,r4,r5,c4) | ISETUNLINKN_REG_REG_REG(r4,r6,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r3,c5,c3,r7,r5,c4)","c1=label@2939;r1=R5;r2=R15;r3=R11;c2=int:20;c3=int:6;r4=R14;r5=R3;c4=int:1;r6=R24;c5=int:23;r7=R16","benchmark_awfy_richards_opt",2869
105,14759,1,1,12,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINKN_REG_REG(r2,r3) | BRF_ID_REG(c2,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c3,c4,r6,r7,c5)","r1=R5;r2=R7;c1=int:0;r3=R12;c2=label@2939;r4=R15;r5=R11;c3=int:20;c4=int:6;r6=R14;r7=R3;c5=int:1","benchmark_awfy_richards_opt",2862
106,14759,1,1,11,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c2,c3,r2,r5,c1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r6,r4,c2,c3,r1,r7,c1) | IGT_REG_REG_REG(r8,r2,r1)","r1=R13;r2=R16;c1=int:1;r3=R14;r4=R11;c2=int:24;c3=int:6;r5=R3;r6=R17;r7=R8;r8=R12","benchmark_awfy_richards_opt",2892
107,14759,1,1,11,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r4,c1,c2,r5,r6,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r7,r5,c3,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r4,c4,c2,r5,r6,c3)","r1=R14;r2=R24;r3=R15;r4=R11;c1=int:23;c2=int:6;r5=R16;r6=R3;c3=int:1;r7=R13;c4=int:24","benchmark_awfy_richards_opt",2880
108,14759,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGT_REG_REG_REG(r5,r6,r3) | UNLINKN_REG_REG(r3,r1) | UNLINKN_REG_REG(r6,r7)","r1=R17;r2=R11;c1=int:24;c2=int:6;r3=R13;r4=R8;c3=int:1;r5=R12;r6=R16;r7=R14","benchmark_awfy_richards_opt",2905
109,14759,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c3,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c4,c2,r3,r4,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r6,r2,c4,c2,r5,r7,c3)","r1=R14;r2=R11;c1=int:23;c2=int:6;r3=R16;r4=R3;c3=int:1;r5=R13;c4=int:24;r6=R17;r7=R8","benchmark_awfy_richards_opt",2884
110,14759,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ISETUNLINKN_REG_REG_REG(r3,r5,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r2,c4,c2,r6,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r7,r6,c3,r3)","r1=R15;r2=R11;c1=int:20;c2=int:6;r3=R14;r4=R3;c3=int:1;r5=R24;c4=int:23;r6=R16;r7=R13","benchmark_awfy_richards_opt",2872
111,14759,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r2,c1,c2,r6,r7,c3) | IGT_REG_REG_REG(r8,r3,r6) | UNLINKN_REG_REG(r6,r5)","r1=R14;r2=R11;c1=int:24;c2=int:6;r3=R16;r4=R3;c3=int:1;r5=R17;r6=R13;r7=R8;r8=R12","benchmark_awfy_richards_opt",2897
112,14759,1,1,12,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c2,c3,r6,r7,c4) | ISETUNLINKN_REG_REG_REG(r6,r8,r4)","r1=R7;r2=R12;c1=label@2939;r3=R5;r4=R15;r5=R11;c2=int:20;c3=int:6;r6=R14;r7=R3;c4=int:1;r8=R24","benchmark_awfy_richards_opt",2866
113,12327,2,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IEQ_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | BRF_ID_REG(c3,r3)","r1=R10;r2=R17;c1=int:8;r3=R9;c2=int:0;c3=label@3347","benchmark_awfy_richards_opt",3261
114,11631,1,1,9,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4) | INE_REG_REG_INT(r5,r6,c3)","r1=R32;r2=R64;c1=int:3;c2=label@4210;r3=R38;r4=R63;r5=R33;r6=R1;c3=int:0","benchmark_awfy_richards_opt",3728
115,11627,1,1,10,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r2,r5,c3) | IEQ_REG_REG_INT(r6,r4,c4)","c1=label@3830;r1=R33;r2=R22;r3=R38;c2=int:16;r4=R28;r5=R1;c3=int:0;r6=R20;c4=int:1","benchmark_awfy_richards_opt",3742
116,11627,1,1,8,candidate,"COPY_REG_REG(r1,r2) | INE_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3) | LINKATTR1_REG_REG_INT(r5,r1,c3)","r1=R38;r2=R63;r3=R33;r4=R1;c1=int:0;c2=label@3830;r5=R22;c3=int:16","benchmark_awfy_richards_opt",3735
117,11627,1,1,8,candidate,"INE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | MINLINKATTR1_REG_REG_REG_INT(r5,r3,r2,c1)","r1=R33;r2=R1;c1=int:0;c2=label@3830;r3=R22;r4=R38;c3=int:16;r5=R28","benchmark_awfy_richards_opt",3738
118,11627,1,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IEQ_REG_REG_INT(r5,r3,c3) | UNLINKN_REG_REG(r3,r1)","r1=R22;r2=R38;c1=int:16;r3=R28;r4=R1;c2=int:0;r5=R20;c3=int:1","benchmark_awfy_richards_opt",3745
119,11627,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IEQ_REG_REG_INT(r4,r1,c2) | UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c3,r4)","r1=R28;r2=R22;r3=R1;c1=int:0;r4=R20;c2=int:1;c3=label@3798","benchmark_awfy_richards_opt",3749
120,10127,1,1,8,candidate,"ICOPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | MINLINKATTR1_REG_REG_REG_INT(r5,r3,r2,c2) | IGETUNLINK_REG_REG(r6,r5)","r1=R1;r2=R11;r3=R6;r4=R9;c1=int:17;r5=R7;c2=int:0;r6=R0","benchmark_awfy_richards_opt",2120
121,10127,1,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | INE_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R0;r2=R7;r3=R6;c1=int:0;c2=label@2163","benchmark_awfy_richards_opt",2132
122,10127,1,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | ISETUNLINKN_REG_REG_REG(r3,r5,r1) | RET_REG(r6)","r1=R6;r2=R9;c1=int:17;r3=R7;r4=R1;c2=int:0;r5=R10;r6=R11","benchmark_awfy_richards_opt",2163
123,10127,1,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r4,r1) | UNLINK_REG(r2) | INE_REG_REG_INT(r1,r4,c1)","r1=R7;r2=R6;r3=R11;c1=int:0;r4=R0","benchmark_awfy_richards_opt",2127
124,10000,1,1,8,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c2) | ISUB_REG_REG_INT(r5,r4,c3)","c1=label@3436;r1=R11;r2=R17;r3=R63;r4=R9;c2=int:8;r5=R8;c3=int:1","benchmark_awfy_richards_opt",3241
125,10000,1,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | ISUB_REG_REG_INT(r4,r3,c2) | UNLINK_REG(r3)","r1=R17;r2=R63;r3=R9;c1=int:8;r4=R8;c2=int:1","benchmark_awfy_richards_opt",3244
126,10000,1,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IEQ_REG_REG_INT(r4,r3,c2) | UNLINK_REG(r3)","r1=R17;c1=int:8;r2=R8;r3=R10;r4=R9;c2=int:0","benchmark_awfy_richards_opt",3257
127,10000,1,1,6,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c2,r1) | LINKATTR1_REG_REG_INT(r4,r3,c2)","r1=R8;r2=R9;c1=int:1;r3=R17;c2=int:8;r4=R10","benchmark_awfy_richards_opt",3251
128,10000,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R9;r2=R17;c1=int:8;r3=R8;c2=int:1","benchmark_awfy_richards_opt",3247
129,10000,1,1,6,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LINKATTR1_REG_REG_INT(r4,r2,c1) | IEQ_REG_REG_INT(r1,r4,c2)","r1=R9;r2=R17;c1=int:8;r3=R8;r4=R10;c2=int:0","benchmark_awfy_richards_opt",3255
130,9999,1,1,7,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | COPY_REG_REG(r2,r1) | ILT_REG_REG_INT(r3,r4,c3)","r1=R13;c1=int:18;c2=int:1;r2=R3;r3=R4;r4=R14;c3=int:0","benchmark_awfy_richards_opt",2626
131,9999,1,1,7,candidate,"COPY_REG_REG(r1,r2) | ILT_REG_REG_INT(r3,r4,c1) | BRT_ID_REG(c2,r3) | IGT_REG_REG_INT(r3,r4,c3)","r1=R3;r2=R13;r3=R4;r4=R14;c1=int:0;c2=label@2646;c3=int:5","benchmark_awfy_richards_opt",2632
132,9999,1,1,5,candidate,"IAND_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1)","r1=R9;r2=R10;c1=int:1;c2=int:0;c3=label@3397","benchmark_awfy_richards_opt",3351
133,9999,1,1,12,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r4,c2,c3,r5,r6,c4) | LINKATTR1_REG_REG_INT(r7,r4,c2) | LINKATTR1_REG_REG_INT(r1,r4,c5)","r1=R4;r2=R5;c1=int:0;r3=R6;r4=R13;c2=int:24;c3=int:6;r5=R7;r6=R1;c4=int:1;r7=R9;c5=int:2","benchmark_awfy_richards_opt",2679
134,9999,2,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r1,c3) | CALL2_REG_FUNC_REG_REG(r4,c4,r1,r3)","r1=R17;c1=int:7;r2=R6;r3=R22;c2=int:4;c3=int:256;r4=R15;c4=func@94248","benchmark_awfy_richards_opt",3374
135,9999,1,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IAND_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | IEQ_REG_REG_INT(r3,r3,c3)","r1=R10;r2=R17;c1=int:7;r3=R9;c2=int:1;c3=int:0","benchmark_awfy_richards_opt",3347
136,9999,1,1,9,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETLINKATTR1_REG_REG_INT_REG_INT(r3,r4,c2,r1,c3) | UNLINK_REG(r1) | IGT_REG_REG_REG(r5,r6,r3)","r1=R4;r2=R13;c1=int:2;r3=R8;r4=R9;c2=int:6;c3=int:1;r5=R11;r6=R7","benchmark_awfy_richards_opt",2696
137,9999,1,1,12,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r2,c5,c2,r6,r4,c3) | LINKATTR1_REG_REG_INT(r7,r2,c5)","r1=R6;r2=R13;c1=int:19;c2=int:6;r3=R5;r4=R1;c3=int:1;r5=R4;c4=int:0;c5=int:24;r6=R7;r7=R9","benchmark_awfy_richards_opt",2671
138,9999,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKATTR1_REG_REG_INT(r5,r2,c1) | LINKATTR1_REG_REG_INT(r6,r2,c4) | SETLINKATTR1_REG_REG_INT_REG_INT(r7,r5,c2,r6,c3)","r1=R5;r2=R13;c1=int:24;c2=int:6;r3=R7;r4=R1;c3=int:1;r5=R9;r6=R4;c4=int:2;r7=R8","benchmark_awfy_richards_opt",2684
139,9999,1,1,8,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | COPY_REG_REG(r1,r2) | ILT_REG_REG_INT(r3,r4,c3) | BRT_ID_REG(c4,r3)","c1=int:18;c2=int:1;r1=R3;r2=R13;r3=R4;r4=R14;c3=int:0;c4=label@2646","benchmark_awfy_richards_opt",2628
140,9999,1,1,7,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | IGT_REG_REG_REG(r4,r5,r1) | UNLINKN_REG_REG(r1,r2)","r1=R8;r2=R9;c1=int:6;r3=R4;c2=int:1;r4=R11;r5=R7","benchmark_awfy_richards_opt",2700
141,9999,1,1,7,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINKN_REG_REG(r3,r4) | BRF_ID_REG(c1,r5) | RET_REG(r6)","r1=R8;r2=R9;r3=R7;r4=R5;c1=label@2723;r5=R11;r6=R1","benchmark_awfy_richards_opt",2712
142,9999,1,1,6,candidate,"UNLINK_REG(r1) | IGT_REG_REG_REG(r2,r3,r4) | UNLINKN_REG_REG(r4,r5) | UNLINKN_REG_REG(r3,r6)","r1=R4;r2=R11;r3=R7;r4=R8;r5=R9;r6=R5","benchmark_awfy_richards_opt",2706
143,9987,1,1,7,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | IEQ_REG_REG_INT(r1,r4,c1) | BRF_ID_REG(c2,r1) | RET_REG(r5)","r1=R7;r2=R5;c1=int:0;r3=R6;r4=R11;c2=label@2120;r5=R10","benchmark_awfy_richards_opt",2106
144,9333,32,1,8,candidate,"UNLINK_REG(r1) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r3,c1,r4) | LINKATTR1_REG_REG_INT(r4,r5,c2) | LINKATTR1_REG_REG_INT(r1,r5,c3)","r1=R13;r2=R14;r3=R12;c1=int:0;r4=R4;r5=R11;c2=int:15;c3=int:9","benchmark_awfy_richards_opt",486
